"id","memory","load","count","min250","min500","min750","min1000","max250","max500","max750","max1000","avg250","avg500","avg750","avg1000"
"c4.large",3767,46.12,2,10.195,20.131,29.49,39.206,10.197,20.131,29.566,39.238,10.196,20.131,29.528,39.222
"i7-2600",3767,46.12,8,6.495,13.788,21.218,27.143,7.616,14.79,21.934,27.647,6.917,14.276624999999997,21.483249999999998,27.43325
"m3.large",7516,32.3,2,7.903,15.808,23.29,30.893,8.073,15.949,23.304,30.996,7.9879999999999995,15.878499999999999,23.296999999999997,30.944499999999998
"m4.large",7986,33.18,2,13.81,26.054,31.258,34.979,15.297,27.484,31.782,38.721,14.5535,26.769,31.52,36.849999999999994
"mbp2015",16384,230.22,8,9.444,19.718,27.683,35.78,9.788,20.226,28.172,36.332,9.65175,19.956625,28.05875,36.072375
"r3.large",15301,28.1,2,8.445,16.203,23.044,31.409,8.461,16.271,23.055,31.504,8.453,16.237000000000002,23.049500000000002,31.4565
"SM-G930F",3767,46.12,6,2.174,6.373,9.148,10.64,3.719,7.289,11.201,15.332,2.705666666666667,6.817499999999999,10.259333333333332,13.457833333333332
"t1.micro",591,4.54,1,7.231,13.896,19.53,26.363,7.231,13.896,19.53,26.363,7.231,13.896,19.53,26.363
"t2.2xlarge",32178,40.29,8,14.173,28.668,42.358,55.706,14.364,28.975,42.745,56.63,14.287875,28.851,42.536625,56.34474999999999
"t2.medium",3954,49.58,2,15.108,30.16,44.353,58.767,15.205,30.164,44.521,59.068,15.156500000000001,30.162,44.437,58.917500000000004
"t2.micro",995,48.63,1,15.866,29.498,44.54,58.847,15.866,29.498,44.54,58.847,15.866,29.498,44.54,58.847
"t2.xlarge",16050,36.27,4,15.088,30.039,44.51,59.042,15.199,30.35,44.687,59.208,15.1495,30.232,44.5575,59.09575